DATE,VIXCLS
2002-08-01,33.74272727
2002-09-01,37.6475
2002-10-01,35.24304348
2002-11-01,28.175
2002-12-01,28.21047619
2003-01-01,27.42428571
2003-02-01,32.21842105
2003-03-01,30.63428571
2003-04-01,23.99190476
2003-05-01,20.23952381
2003-06-01,20.36238095
2003-07-01,19.16136364
2003-08-01,19.27428571
2003-09-01,19.53238095
2003-10-01,18.02347826
2003-11-01,17.40105263
2003-12-01,16.82636364
2004-01-01,16.101
2004-02-01,15.99842105
2004-03-01,17.6873913
2004-04-01,15.69857143
2004-05-01,17.705
2004-06-01,15.34272727
2004-07-01,15.50238095
2004-08-01,16.68409091
2004-09-01,14.08095238
2004-10-01,14.97380952
2004-11-01,13.57761905
2004-12-01,12.45954545
2005-01-01,13.438
2005-02-01,11.70894737
2005-03-01,13.12636364
2005-04-01,14.45904762
2005-05-01,13.96761905
2005-06-01,11.86863636
2005-07-01,11.049
2005-08-01,12.95130435
2005-09-01,12.62809524
2005-10-01,14.93761905
2005-11-01,12.14761905
2005-12-01,11.26
2006-01-01,12.036
2006-02-01,12.47105263
2006-03-01,11.69391304
2006-04-01,11.84736842
2006-05-01,14.45454545
2006-06-01,16.91863636
2006-07-01,15.326
2006-08-01,13.35173913
2006-09-01,12.1845
2006-10-01,11.30636364
2006-11-01,10.81761905
2006-12-01,10.9645
2007-01-01,11.0425
2007-02-01,11.15526316
2007-03-01,15.16272727
2007-04-01,12.933
2007-05-01,13.29772727
2007-06-01,14.94761905
2007-07-01,17.27333333
2007-08-01,25.02608696
2007-09-01,22.19894737
2007-10-01,19.11565217
2007-11-01,25.58238095
2007-12-01,21.651
2008-01-01,25.81619048
2008-02-01,25.456
2008-03-01,27.1035
2008-04-01,21.56272727
2008-05-01,18.30333333
2008-06-01,22.11047619
2008-07-01,24.32181818
2008-08-01,20.69571429
2008-09-01,30.23857143
2008-10-01,61.1773913
2008-11-01,62.66894737
2008-12-01,52.405
2009-01-01,44.683
2009-02-01,45.57052632
2009-03-01,44.79545455
2009-04-01,38.06380952
2009-05-01,31.978
2009-06-01,29.14045455
2009-07-01,26.16272727
2009-08-01,25.33714286
2009-09-01,24.92666667
2009-10-01,24.25227273
2009-11-01,23.789
2009-12-01,21.23954545
2010-01-01,20.64315789
2010-02-01,22.54
2010-03-01,17.7673913
2010-04-01,17.42428571
2010-05-01,31.9295
2010-06-01,29.91636364
2010-07-01,25.5652381
2010-08-01,24.74590909
2010-09-01,22.51761905
2010-10-01,20.37333333
2010-11-01,20.09571429
2010-12-01,17.56954545
2011-01-01,17.3155
2011-02-01,17.43
2011-03-01,20.72347826
2011-04-01,16.244
2011-05-01,16.91142857
2011-06-01,19.15318182
2011-07-01,19.2275
2011-08-01,35.02913043
2011-09-01,36.53
2011-10-01,32.82904762
2011-11-01,31.94190476
2011-12-01,25.04761905
2012-01-01,20.228
